label,x,y,z
ADAR,98.37,0.96,8.26
ADFL,56.05,5.07,-4.98
ADLL,65.15,11.51,-4.25
ADLR,72.58,11.16,4.29
AFDL,63.04,-2.9,-0.53
AFDR,57.73,8.74,5.26
AIBL,66.37,-0.18,-4.56
AIBR,63.35,2.45,5.18
AIML,93.83,-13.3,-0.82
AIMR,81.69,-6.74,2.8
AINL,73.97,5.99,-7.66
AINR,77.45,8.77,5.85
AIYL,75.4,-4.89,-3.26
AIYR,66.75,-2.42,1.85
AIZL,78.82,-1.47,-5.09
AIZR,76.56,2.36,5.26
ALA,54.88,17.96,-1.01
AQR,91.22,-0.76,6.86
ASEL,67.82,5.4,-7.38
ASER,68.55,10.74,6.22
ASGL,67.93,7.44,-4.75
ASGR,65.38,11.39,4.05
ASHL,63.23,2.92,-6.34
ASHR,62.97,7.72,7.46
ASIL,72.45,4.94,-4.6
ASIR,63.79,14.61,1.9
ASJL,75.85,-2.09,-3.74
ASJR,91.31,-6.3,-3.44
ASKL,54.85,3.47,-4.11
ASKR,63.18,8.14,3.91
AUAL,66.02,-1.81,-6.27
AUAR,68.32,0.98,4.74
AVAL,52.34,6.23,-6.66
AVAR,54.59,2.88,3.54
AVBL,71.54,5.06,-3.45
AVBR,72.77,11.02,8.07
AVDL,76.23,-0.36,-6.66
AVDR,77.25,5.64,6.09
AVEL,62.61,2.09,-5.27
AVER,67.33,3.84,5.1
AVFL,119.5,-9.32,-1.68
AVHL,66.15,10.31,-6.76
AVHR,67.38,13.54,5.22
AVJL,70.09,7.02,-6.18
AVJR,71.74,12.39,3.8
AVKL,97.68,-7.51,-3.19
AVKR,98.66,-8.58,3.22
AVL,60.23,-1.09,2.98
AWAL,69.04,4.23,-5.48
AWAR,70.5,3.72,5.88
AWBL,60.44,7.94,-6.27
AWBR,63.66,12.65,5.84
BAGL,40.21,5.32,-4.85
BAGR,42.15,4.0,5.96
FLPL,83.45,2.06,-6.66
FLPR,81.42,-1.36,5.07
OLLL,33.24,10.3,-4.2
OLLR,34.03,10.06,5.02
RIAL,51.78,11.31,-4.82
RIAR,55.4,8.43,5.75
RIBL,79.9,0.06,-5.46
RIBR,69.89,-0.85,0.62
RICL,83.39,-1.96,-5.07
RICR,74.89,-3.08,4.49
RID,70.54,15.52,3.64
RIFR,133.94,-12.21,1.22
RIGL,127.23,-10.24,-0.28
RIGR,119.95,-9.08,0.51
RIH,49.77,2.12,4.69
RIML,70.3,-0.94,-3.8
RIMR,67.28,-6.29,2.75
RIPL,39.6,5.26,-6.6
RIR,51.3,-4.84,0.57
RIS,91.9,-10.8,-2.11
RIVL,73.6,6.93,-5.48
RIVR,56.64,14.28,3.74
RMFL,64.83,-6.73,-0.81
RMFR,67.73,-3.71,0.55
RMGL,96.44,-2.51,-6.24
RMGR,99.36,-0.88,5.55
URBL,36.05,4.63,-6.52
URBR,37.07,9.15,7.78
URXL,52.67,14.08,-2.0
URXR,52.94,15.23,1.9
